AAA66194	L08050
AAB08985	U51630
AAB16816	U72670
AAB38709	U76553
AAB38710	U76552
AAB48015	U15733
AAB48534	U89833
AAB51760	U91603
AAB53437	U92432
AAB57809	U96611
AAB65662	AF006692
AAB70814	AF016002
AAB86881	AF032438
AAB87792	AF016003
AAC25055	AF042170
AAC25057	AF042171
AAC25091	AF047705
AAC31360	AF037107
AAC31361	AF037108
AAC31374	AF043707
AAC31375	AF043708
AAC31376	AF043709
AAC31377	AF043710
AAC31378	AF043711
AAC31379	AF043712
AAC31380	AF043713
AAC31381	AF043714
AAC31382	AF043715
AAC31383	AF043716
AAC31384	AF043717
AAC31385	AF043718
AAC31386	AF043719
AAC38651	AF058691
AAC38653	AF058692
AAF03938	AF153344
AAG60667	AF314753
AAL86636	AF327917
AAL86637	AF327918
AAL86638	AF327919
AAO60364	AY177925
AAO60365	AY177927
AAO60366	AY177928
AAO60367	AY177929
AAO60368	AY177930
AAO60369	AY177926
AAO60370	AY177931
AAO60371	AY177932
AAO60372	AY177933
ABA58955	CP000127
ABB69913	DQ228454
ABB69914	DQ228455
ABB69915	DQ228456
ABB69916	DQ228457
ABB69917	DQ228458
ABB69918	DQ228459
ABB69919	DQ228460
ABB69920	DQ228461
ABB69921	DQ228462
ABB69922	DQ228463
ABB69923	DQ228464
ABB69924	DQ228465
ABB69925	DQ228466
ABB69927	DQ228468
ABB69928	DQ228469
ABB74106	CP000103
ABB75616	CP000103
ABB76052	CP000103
ABF70476	DQ519039
ABF70477	DQ519040
ABF70478	DQ519041
ABF70484	DQ519047
ABF70485	DQ519048
ABI60300	CP000450
ABI60535	CP000450
ABM54173	EF175097
ABM54174	EF175098
ABM54175	EF175099
ABM54176	EF175100
ABM91805	EF204967
ABM91807	EF204968
ABM91810	EF204969
ABM91811	EF204970
ABM91813	EF204971
ABM91815	EF204972
ABM91817	EF204973
ABM91819	EF204974
ABM91821	EF204975
ABM91823	EF204976
ABM91825	EF204977
ABM91827	EF204978
ABM91829	EF204979
ABM91831	EF204980
ABM91833	EF204981
ABM91835	EF204982
ABM91837	EF204983
ABM91864	EF204996
ABN04001	EF207177
ABN04002	EF207178
ABN04003	EF207179
ABN04004	EF207180
ABN04005	EF207181
ABN04006	EF207182
ABN04007	EF207183
ABN04008	EF207184
ABN04009	EF207185
ABN04010	EF207186
